Qty-1,Part References,Value,Package,Mfg Part Num,Mfg Name,VID,Vendor Part Num,Description,Pkg Code,,XREF
2,"J3, J5",,1X08_LOCK,PREC008SAAN-RC,Sullins Connector Solutions,DK,S1012EC-08-ND,CONN HEADER .100"" SNGL STR 8POS,1X08,*,REF193
5,"C1, C2, C5, C7, C8",0.1uF,0603-CAP,CL10B104KB8NNNC,Samsung Electro-Mechanics America,DK,1276-1000-1-ND,CAP CER 0.1UF 50V 10% X7R 0603,0603-CAP,*,REF134
1,"C6",1uF,0603-CAP,GRM188R61C105KA93D,Murata Electronics North America,DK,490-1536-1-ND,CAP CER 1UF 16V 10% X5R 0603,C0603,*,REF82
1,"R7",2.55k,0603-RES,ERJ-3EKF2551V,Panasonic Electronic Components,DK,P2.55KHCT-ND,RES SMD 2.55K OHM 1% 1/10W 0603,0603-RES,*,REF190
1,"L1",6.8uH,VLF10040,VLF10040T-6R8N4R5,TDK Corporation,DK,445-3561-1-ND,FIXED IND 6.8UH 4.5A 23.8 MOHM,0.394"" L x 0.382"" W (10.00mm x 9.70mm),*,REF183
1,"R6",10.2k,0603-RES,ERJ-3EKF1022V,Panasonic Electronic Components,DK,P10.2KHCT-ND,RES SMD 10.2K OHM 1% 1/10W 0603,0603-RES,*,REF189
2,"C3, C4",10uF,1206,F931C106MAA,AVX Corporation,DK,478-8237-1-ND,CAP TANT 10UF 16V 20% 1206,1206-RES,*,REF179
1,"C12",10uF,1206,TLJA476M010R0600,AVX Corporation,DK,478-9009-1-ND,CAP TANT 47UF 10V 20% 1206,1206-RES,*,REF180
3,"C9, C10, C11",22uF,1210,TLJA476M010R0600,AVX Corporation,DK,478-9009-1-ND,CAP TANT 47UF 10V 20% 1206,1206-RES,*,REF180
1,"R5",31.6k,0603-RES,ERJ-3EKF3162V,Panasonic Electronic Components,DK,P31.6KHCT-ND,RES SMD 31.6K OHM 1% 1/10W 0603,0603-RES,*,REF188
4,"R1, R2, R3, R4",100,0603-RES,ERJ-3EKF1000V,Panasonic Electronic Components,DK,P100HCT-ND,RES SMD 100 OHM 1% 1/10W 0603,0603-RES,*,REF187
2,"J2, J4",85503-5001,85503-5001,855035001,Molex Inc.,DK,WM4016-ND,CONN MOD JACK 8P8C R/A UNSHLD,RJ45-8P8C,*,REF182
1,"J1",ADIS1648X,ADIS1648X,CLM-112-02-L-D,Samtec Inc,DK,SAM1129-12-ND,CONN RCPT LOPRO DL 24POS 1MM SMD,CLM24,*,REF192
1,"U2",ADN4665ARUZ,TSSOP-16,ADN4665ARUZ,Analog Devices Inc,DK,ADN4665ARUZ-ND,IC DRIVER DIFF LVDS QUAD 16TSSOP,TSSOP16,*,REF185
1,"U1",ADN4666ARUZ,TSSOP-16,ADN4666ARUZ,Analog Devices Inc,DK,ADN4666ARUZ-ND,IC RCVR DIFF LVDS QUAD 16TSSOP,TSSOP16,*,REF184
1,"U3",ADP2303,SOIC-8-PAD,ADP2303ARDZ,Analog Devices Inc,DK,ADP2303ARDZ-ND,IC REG BUCK ADJ 3A 8SOIC,8-SOIC-EP,*,REF186
1,"D1",SSB43L-E3,DO214AA,SSB43L-E3/52T,Vishay Semiconductor Diodes Division,DK,SSB43L-E3/52TGICT-ND,DIODE SCHOTTKY 30V 4A DO214AA,DO-214AA,*,REF181
1,"J6",VIN,SCREWTERMINAL-3.5MM-2,20020327-C021B01LF,FCI,DK,609-4725-ND,3.5MM TERMINAL BLOCK -55~110C,3.5MM,*,REF191
